name,1NN-ED,OPF-ED,1NN-DTW,OPF-DTW,OPF-ED-fast-time-mean,OPF-ED-fast-time-std,OPF-ED-fast-time-it0,OPF-ED-fast-time-it1,OPF-ED-fast-time-it2,OPF-ED-fast-time-it3,OPF-ED-fast-time-it4,OPF-ED-fast-time-it5,OPF-ED-fast-time-it6,OPF-ED-fast-time-it7,OPF-ED-fast-time-it8,OPF-ED-fast-time-it9
ACSF1,0.46,0.46,0.37,0.38,0.031080150604248048,0.031080150604248048,0.024782419204711914,0.02157902717590332,0.021794557571411133,0.021676301956176758,0.02190995216369629,0.02195000648498535,0.021853208541870117,0.02189922332763672,0.05395674705505371,0.07940006256103516
Adiac,0.3887,0.3964194373401534,0.3964194373401534,0.4040920716112532,0.05366551876068115,0.05366551876068115,0.0342404842376709,0.04096412658691406,0.05214357376098633,0.058400869369506836,0.05377793312072754,0.05691957473754883,0.058031558990478516,0.06020379066467285,0.06188368797302246,0.0600895881652832
AllGestureWiimoteX,0.4843,0.4757142857142857,0.2342857142857143,0.2542857142857143,0.14149532318115235,0.14149532318115235,0.11035680770874023,0.11076974868774414,0.12711119651794434,0.1287829875946045,0.15056848526000977,0.12852072715759277,0.1578381061553955,0.17096257209777832,0.1725907325744629,0.15745186805725098
AllGestureWiimoteY,0.4314,0.4742857142857143,0.28,0.2857142857142857,0.13472185134887696,0.13472185134887696,0.10853123664855957,0.1077260971069336,0.12719321250915527,0.1270289421081543,0.12740445137023926,0.15639233589172363,0.13638544082641602,0.15093541145324707,0.15484380722045898,0.15077757835388184
AllGestureWiimoteZ,0.5457,0.5514285714285714,0.3114285714285714,0.3185714285714285,0.13054914474487306,0.13054914474487306,0.11524176597595215,0.11162114143371582,0.12342309951782227,0.13663816452026367,0.1336815357208252,0.13704347610473633,0.13471722602844238,0.14962553977966309,0.14299392700195312,0.12050557136535645
ArrowHead,0.2,0.2114285714285714,0.28,0.2857142857142857,0.0012682437896728515,0.0012682437896728515,0.0014276504516601562,0.001312255859375,0.0013048648834228516,0.0012547969818115234,0.001237630844116211,0.0012345314025878906,0.0012373924255371094,0.0012302398681640625,0.0012197494506835938,0.0012233257293701172
Beef,0.3333,0.3333333333333333,0.3666666666666666,0.3666666666666666,0.0008064508438110352,0.0008064508438110352,0.0010454654693603516,0.0013647079467773438,0.00080108642578125,0.0006785392761230469,0.0006852149963378906,0.0007479190826416016,0.0007092952728271484,0.0006797313690185547,0.0006747245788574219,0.0006778240203857422
BeetleFly,0.25,0.25,0.3,0.25,0.0005004405975341797,0.0005004405975341797,0.0016849040985107422,0.0004398822784423828,0.0004019737243652344,0.0003578662872314453,0.00035262107849121094,0.0003635883331298828,0.0003502368927001953,0.00034880638122558594,0.0003521442413330078,0.0003523826599121094
BirdChicken,0.45,0.45,0.25,0.25,0.000510406494140625,0.000510406494140625,0.0004248619079589844,0.0003724098205566406,0.0004944801330566406,0.0005879402160644531,0.0005388259887695312,0.00036716461181640625,0.0003650188446044922,0.0006198883056640625,0.0006566047668457031,0.0006768703460693359
BME,0.1667,0.1733333333333333,0.0066666666666666,0.0066666666666666,0.0005908727645874024,0.0005908727645874024,0.0005609989166259766,0.000514984130859375,0.0005056858062744141,0.0005776882171630859,0.0005414485931396484,0.0005176067352294922,0.0005488395690917969,0.0006034374237060547,0.0008447170257568359,0.0006933212280273438
Car,0.2667,0.2666666666666666,0.25,0.2666666666666666,0.003749227523803711,0.003749227523803711,0.004153013229370117,0.0030448436737060547,0.0034062862396240234,0.003542184829711914,0.0031342506408691406,0.004256486892700195,0.003513336181640625,0.0037043094635009766,0.003842592239379883,0.00489497184753418
CBF,0.1478,0.2166666666666666,0.0055555555555555,0.0088888888888888,0.0023204326629638673,0.0023204326629638673,0.002422332763671875,0.002416849136352539,0.0023419857025146484,0.002306699752807617,0.002292156219482422,0.002279043197631836,0.0022606849670410156,0.002275228500366211,0.002279520034790039,0.0023298263549804688
Chinatown,0.0466,0.0583090379008746,0.0262390670553935,0.0349854227405247,0.00021047592163085936,0.00021047592163085936,0.0006208419799804688,0.00017642974853515625,0.00016689300537109375,0.0001628398895263672,0.00016808509826660156,0.0001647472381591797,0.0001609325408935547,0.0001609325408935547,0.00016427040100097656,0.00015878677368164062
ChlorineConcentration,0.35,0.35546875,0.3518229166666666,0.3606770833333333,0.2545079469680786,0.2545079469680786,0.25343775749206543,0.25343751907348633,0.25791120529174805,0.25400424003601074,0.2581944465637207,0.2566359043121338,0.2533552646636963,0.25383949279785156,0.25332069396972656,0.2509429454803467
CinCECGTorso,0.1029,0.1050724637681159,0.2768115942028985,0.2768115942028985,0.07298009395599366,0.07298009395599366,0.08889460563659668,0.07201313972473145,0.0716867446899414,0.07033753395080566,0.07013535499572754,0.0723111629486084,0.07240700721740723,0.0729982852935791,0.0697333812713623,0.06928372383117676
Coffee,0.0,0.0,0.0,0.0,0.0013991594314575195,0.0013991594314575195,0.009712457656860352,0.0016446113586425781,0.0003452301025390625,0.0003294944763183594,0.00032639503479003906,0.0003323554992675781,0.0003261566162109375,0.0003237724304199219,0.0003256797790527344,0.0003254413604736328
Computers,0.424,0.432,0.428,0.452,0.05716102123260498,0.05716102123260498,0.058989524841308594,0.05604124069213867,0.05747032165527344,0.0567774772644043,0.05669856071472168,0.0577998161315918,0.05779290199279785,0.05696225166320801,0.0560002326965332,0.057077884674072266
CricketX,0.4231,0.4435897435897435,0.2205128205128205,0.2230769230769231,0.062272262573242185,0.062272262573242185,0.059137582778930664,0.05985140800476074,0.06215548515319824,0.06333279609680176,0.06070995330810547,0.06394815444946289,0.0633080005645752,0.06331539154052734,0.06336450576782227,0.0635993480682373
