name,1NN-ED,OPF-ED,1NN-DTW,OPF-DTW
ACSF1,0.46,0.46,0.37,0.38
Adiac,0.3887,0.3964194373401534,0.3964194373401534,0.4040920716112532
AllGestureWiimoteX,0.4843,0.4757142857142857,0.2342857142857143,0.2542857142857143
AllGestureWiimoteY,0.4314,0.4742857142857143,0.28,0.2857142857142857
AllGestureWiimoteZ,0.5457,0.5514285714285714,0.3114285714285714,0.3185714285714285
ArrowHead,0.2,0.2114285714285714,0.28,0.2857142857142857
Beef,0.3333,0.3333333333333333,0.3666666666666666,0.3666666666666666
BeetleFly,0.25,0.25,0.3,0.25
BirdChicken,0.45,0.45,0.25,0.25
BME,0.1667,0.1733333333333333,0.0066666666666666,0.0066666666666666
Car,0.2667,0.2666666666666666,0.25,0.2666666666666666
CBF,0.1478,0.2166666666666666,0.0055555555555555,0.0088888888888888
Chinatown,0.0466,0.0583090379008746,0.0262390670553935,0.0349854227405247
ChlorineConcentration,0.35,0.35546875,0.3518229166666666,0.3606770833333333
CinCECGTorso,0.1029,0.1050724637681159,0.2768115942028985,0.2768115942028985
Coffee,0.0,0.0,0.0,0.0
Computers,0.424,0.432,0.428,0.452
CricketX,0.4231,0.4435897435897435,0.2205128205128205,0.2230769230769231
CricketY,0.4333,0.4435897435897435,0.2333333333333333,0.2487179487179487
CricketZ,0.4128,0.4230769230769231,0.2307692307692307,0.2384615384615384
Crop,0.2883,0.2766071428571429,0.2978571428571429,0.3027380952380952
DiatomSizeReduction,0.0654,0.065359477124183,0.0359477124183006,0.0359477124183006
DistalPhalanxOutlineAgeGroup,0.3741,0.3741007194244604,0.2302158273381295,0.2230215827338129
DistalPhalanxOutlineCorrect,0.2826,0.2898550724637681,0.2826086956521739,0.2826086956521739
DistalPhalanxTW,0.3669,0.381294964028777,0.4100719424460431,0.4100719424460431
DodgerLoopDay,0.45,0.4125,0.5125,0.5125
DodgerLoopGame,0.1159,0.1521739130434782,0.0942028985507246,0.1014492753623188
DodgerLoopWeekend,0.0145,0.0144927536231884,0.0289855072463768,0.0289855072463768
Earthquakes,0.2878,0.3093525179856115,0.316546762589928,0.3237410071942446
ECG200,0.12,0.11,0.17,0.17
ECG5000,0.0751,0.0795555555555555,0.0751111111111111,0.0793333333333333
ECGFiveDays,0.2033,0.2032520325203252,0.2078977932636469,0.2078977932636469
ElectricDevices,0.4492,0.45571261833744,0.3690831279989625,0.3779016988717417
EOGHorizontalSignal,0.5829,0.580110497237569,0.4696132596685083,0.4861878453038674
EOGVerticalSignal,0.558,0.643646408839779,0.5165745856353591,0.5165745856353591
EthanolLevel,0.726,0.726,0.728,0.728
FaceAll,0.2864,0.3005917159763314,0.2142011834319526,0.2165680473372781
FaceFour,0.2159,0.2386363636363636,0.1704545454545454,0.1818181818181818
FacesUCR,0.2307,0.2463414634146341,0.0839024390243902,0.0926829268292682
FiftyWords,0.3692,0.3736263736263736,0.2439560439560439,0.2461538461538461
Fish,0.2171,0.2171428571428571,0.1714285714285714,0.1771428571428571
FordA,0.3348,0.3409090909090909,0.4409090909090909,0.4446969696969697
FordB,0.3938,0.3975308641975308,0.374074074074074,0.3814814814814815
FreezerRegularTrain,0.1951,0.1933333333333333,0.0992982456140351,0.1028070175438596
FreezerSmallTrain,0.3242,0.3242105263157894,0.2407017543859649,0.2407017543859649
Fungi,0.1774,0.1612903225806451,0.1451612903225806,0.1451612903225806
GestureMidAirD1,0.4231,0.5153846153846153,0.3923076923076923,0.3769230769230769
GestureMidAirD2,0.5077,0.5076923076923077,0.5307692307692308,0.5384615384615384
GestureMidAirD3,0.6538,0.7,0.7230769230769231,0.7384615384615385
GesturePebbleZ1,0.2674,0.3372093023255814,0.2325581395348837,0.2383720930232558
GesturePebbleZ2,0.3291,0.3670886075949367,0.2278481012658227,0.2341772151898734
GunPoint,0.0867,0.08,0.06,0.0533333333333333
GunPointAgeSpan,0.1013,0.0316455696202531,0.0031645569620253,0.0031645569620253
GunPointMaleVersusFemale,0.0253,0.0063291139240506,0.0031645569620253,0.0031645569620253
GunPointOldVersusYoung,0.0476,0.0,0.0,0.0
Ham,0.4,0.3904761904761905,0.5047619047619047,0.5047619047619047
HandOutlines,0.1378,0.154054054054054,0.1189189189189189,0.1297297297297297
Haptics,0.6299,0.6233766233766234,0.6006493506493507,0.5974025974025974
Herring,0.4844,0.46875,0.46875,0.453125
HouseTwenty,0.3361,0.3193277310924369,0.1932773109243697,0.1932773109243697
InlineSkate,0.6582,0.66,0.6018181818181818,0.6036363636363636
InsectEPGRegularTrain,0.3213,0.0,0.0,0.0
InsectEPGSmallTrain,0.3373,0.0,0.0,0.0
InsectWingbeatSound,0.4384,0.4494949494949495,0.5252525252525253,0.5303030303030303
ItalyPowerDemand,0.0447,0.0495626822157434,0.0456754130223518,0.0466472303206997
LargeKitchenAppliances,0.5067,0.512,0.2746666666666666,0.2693333333333333
Lightning2,0.2459,0.2622950819672131,0.1311475409836065,0.1311475409836065
Lightning7,0.4247,0.4246575342465753,0.2602739726027397,0.2465753424657534
Mallat,0.0857,0.0899786780383795,0.0652452025586353,0.0690831556503198
Meat,0.0667,0.0666666666666666,0.0666666666666666,0.0666666666666666
MedicalImages,0.3158,0.3263157894736842,0.2552631578947368,0.2605263157894736
MelbournePedestrian,0.1525,0.055760557605576,0.079130791307913,0.083640836408364
MiddlePhalanxOutlineAgeGroup,0.4805,0.487012987012987,0.5,0.474025974025974
MiddlePhalanxOutlineCorrect,0.2337,0.2371134020618556,0.3024054982817869,0.3333333333333333
